ID,event_type,weight,DelEta_jj,DijetMass,LeadingJetPt
499,-999,0.00240966,-999,-999,-999
500,-999,0.00206516,-999,-999,-999
501,-999,0.00258537,-999,-999,-999
502,-999,0.00221837,-999,-999,-999
503,-999,0.00279641,-999,-999,-999
504,2,0.00185927,-999,-999,-999
505,-999,0.00261231,-999,-999,-999
506,-999,0.00127314,-999,-999,-999
507,-999,0.00232299,-999,-999,-999
508,1,0.00162117,0.942584,119.528,101.114
509,-999,0.00176441,-999,-999,-999
510,-999,0.00231606,-999,-999,-999
511,3,0.00233943,-999,-999,-999
512,-999,0.00261699,-999,-999,-999
513,-999,0.00223132,-999,-999,-999
514,3,0.00215712,-999,-999,-999
515,1,0.00201737,-999,-999,59.9284
516,3,0.00147669,0.32207,212.543,156.773
517,-999,0.0017439,-999,-999,-999
518,-999,0.00174459,-999,-999,-999
519,0,0.0029571,-999,-999,-999
520,-999,0.00228105,-999,-999,-999
521,3,0.00236052,-999,-999,-999
522,2,0.00276588,-999,-999,-999
523,-999,0.00240691,-999,-999,-999
524,3,0.00236295,-999,-999,44.707
525,-999,0.00179388,-999,-999,-999
526,2,0.00170847,1.00675,68.9513,39.3181
527,1,0.00312462,-999,-999,-999
528,-999,0.00177757,-999,-999,-999
529,-999,0.00375118,-999,-999,-999
530,-999,0.00226032,-999,-999,-999
531,0,0.00224151,-999,-999,-999
532,0,0.00202766,3.38335,193.515,35.2493
533,2,0.00269098,-999,-999,-999
534,1,0.00247385,-999,-999,-999
535,0,0.00245534,-999,-999,-999
536,-999,0.00327116,-999,-999,-999
537,2,0.0020901,-999,-999,-999
538,1,0.00200425,-999,-999,-999
539,-999,0.00152601,-999,-999,-999
540,-999,0.00203705,-999,-999,-999
541,-999,0.00291781,-999,-999,-999
542,0,0.00286422,1.51773,79.8889,54.2823
543,0,0.00199329,-999,-999,-999
544,0,0.00250711,-999,-999,-999
545,2,0.0021786,-999,-999,-999
546,-999,0.00199002,-999,-999,-999
547,-999,0.00199024,-999,-999,-999
548,1,0.00172988,-999,-999,139.901
549,0,0.00276228,-999,-999,-999
550,-999,0.00212364,-999,-999,-999
551,1,0.00217641,-999,-999,39.4877
552,1,0.00205708,-999,-999,-999
553,1,0.00167252,-999,-999,135.173
554,1,0.0026687,-999,-999,-999
555,-999,0.0025707,-999,-999,-999
556,2,0.00259274,-999,-999,-999
557,1,0.0021603,1.28059,67.7045,45.7368
558,0,0.00277734,-999,-999,-999
559,-999,0.00189808,-999,-999,-999
560,3,0.00165887,3.42938,402.628,72.9688
561,2,0.00221541,-999,-999,49.2223
562,0,0.00297992,-999,-999,-999
563,-999,0.00198252,-999,-999,-999
564,-999,0.00220297,-999,-999,-999
565,-999,0.0022506,-999,-999,-999
566,2,0.00146696,-999,-999,79.1345
567,-999,0.00114835,-999,-999,-999
568,1,0.00190567,-999,-999,42.0562
569,3,0.00218723,-999,-999,-999
570,-999,0.00182747,-999,-999,-999
571,0,0.00236649,-999,-999,-999
572,-999,0.00293111,-999,-999,-999
573,-999,0.00153451,-999,-999,-999
574,-999,0.00270018,-999,-999,-999
575,1,0.00227111,-999,-999,-999
576,-999,0.00208479,-999,-999,-999
577,-999,0.00215957,-999,-999,-999
578,3,0.00221026,-999,-999,-999
579,-999,0.00273229,-999,-999,-999
580,0,0.0023521,-999,-999,-999
581,-999,0.000678847,-999,-999,-999
582,-999,0.00212863,-999,-999,-999
583,3,0.0024762,-999,-999,-999
584,-999,0.00271336,-999,-999,-999
585,-999,0.00224516,-999,-999,-999
586,1,0.00176596,-999,-999,-999
587,-999,0.00361644,-999,-999,-999
588,-999,0.00158783,-999,-999,-999
589,0,0.00261481,-999,-999,-999
590,-999,0.00178889,-999,-999,-999
591,2,0.00188816,-999,-999,-999
592,2,0.00225418,-999,-999,-999
593,-999,0.00263277,-999,-999,-999
594,-999,0.00337798,-999,-999,-999
595,-999,0.00183631,-999,-999,-999
596,0,0.00367323,-999,-999,-999
597,-999,0.0017201,-999,-999,-999
598,-999,0.00237811,-999,-999,-999
599,0,0.00244218,-999,-999,-999
600,-999,0.0024255,-999,-999,-999
601,-999,0.00213888,-999,-999,-999
602,-999,0.00182344,-999,-999,-999
603,-999,0.00179355,-999,-999,-999
604,0,0.00200442,-999,-999,59.0304
605,3,0.0021676,-999,-999,-999
606,1,0.00182491,-999,-999,100.777
607,0,0.00186882,2.93203,264.214,58.4272
608,-999,0.00163935,-999,-999,-999
609,-999,0.00221583,-999,-999,-999
610,3,0.00219061,4.80152,518.708,59.5715
611,-999,0.00179973,-999,-999,-999
612,-999,0.00248256,-999,-999,-999
613,-999,0.00202801,-999,-999,-999
614,-999,0.00236278,-999,-999,-999
615,0,0.00185608,6.34812,1124.63,51.9241
616,-999,0.00193116,-999,-999,-999
617,2,0.00164744,-999,-999,78.9559
618,3,0.00199661,-999,-999,48.5697
619,-999,0.00296527,-999,-999,-999
620,1,0.00175195,-999,-999,68.8894
621,2,0.00192893,-999,-999,31.2508
622,-999,0.00288775,-999,-999,-999
623,2,0.00182021,-999,-999,-999
624,-999,0.00178,-999,-999,-999
625,-999,0.00156395,-999,-999,-999
626,-999,0.00177333,-999,-999,-999
627,-999,0.00196074,-999,-999,-999
628,-999,0.00293376,-999,-999,-999
629,1,0.00276247,-999,-999,-999
630,-999,-0.00941592,-999,-999,-999
631,1,0.0018817,-999,-999,69.4998
632,1,0.00178537,2.55579,250.435,81.1959
633,2,0.00179261,-999,-999,70.4861
634,-999,0.00187479,-999,-999,-999
635,-999,0.00271517,-999,-999,-999
636,-999,0.0019705,-999,-999,-999
637,-999,0.00178535,-999,-999,-999
638,-999,0.00265458,-999,-999,-999
639,-999,0.00215788,-999,-999,-999
640,-999,0.00204757,-999,-999,-999
641,-999,0.00283531,-999,-999,-999
642,0,0.00161012,-999,-999,224.722
643,2,0.00215344,-999,-999,-999
644,-999,0.00160778,-999,-999,-999
645,-999,0.00301207,-999,-999,-999
646,-999,0.00192409,-999,-999,-999
647,2,0.00258528,-999,-999,-999
648,-999,0.00184832,-999,-999,-999
649,2,0.00193213,-999,-999,-999
650,2,0.00190201,-999,-999,87.7
651,2,0.00208639,-999,-999,-999
652,-999,0.00194527,-999,-999,-999
653,3,0.00198721,-999,-999,-999
654,1,0.0024204,-999,-999,-999
655,-999,0.00181339,-999,-999,-999
656,0,0.00252917,-999,-999,-999
657,-999,0.0016082,-999,-999,-999
658,3,0.00171975,-999,-999,68.4271
659,0,0.00156702,0.637796,145.723,122.017
660,0,0.0021723,-999,-999,-999
661,3,0.00280929,-999,-999,-999
662,-999,0.00276602,-999,-999,-999
663,-999,0.00205137,-999,-999,-999
664,-999,-0.00215616,-999,-999,-999
665,0,0.00202974,-999,-999,83.115
666,-999,0.00278935,-999,-999,-999
667,-999,0.00259233,-999,-999,-999
668,2,0.00179761,-999,-999,38.9096
669,2,0.00159517,2.13878,222.478,76.1511
670,1,0.00198285,-999,-999,37.204
671,2,0.0022289,-999,-999,-999
672,2,0.00256622,-999,-999,-999
673,1,0.00191843,-999,-999,88.5362
674,-999,0.00193474,-999,-999,-999
675,-999,0.00166506,-999,-999,-999
676,-999,0.00193956,-999,-999,-999
677,-999,0.00205267,-999,-999,-999
678,2,0.00207685,-999,-999,-999
679,2,0.00209109,-999,-999,-999
680,-999,0.00232833,-999,-999,-999
681,1,0.00198611,-999,-999,-999
682,-999,0.00254357,-999,-999,-999
683,1,0.00204916,-999,-999,-999
684,-999,0.00196862,-999,-999,-999
685,-999,0.00201102,-999,-999,-999
686,0,0.00225761,-999,-999,48.0007
687,3,0.0024577,-999,-999,-999
688,0,0.0022903,-999,-999,-999
689,-999,0.0029651,-999,-999,-999
